blueprint_id,name,category,share_type,classification,status,task_id,linear_id,week,type,platform_url,linear_url,owner,description
37274bdb-6da0-4008-83ba-07951492edcf,Multi-Modal Vision and Text Agent,featured,organization,showcase,review,BP-078,6ca5c506-2988-4bed-b2e8-ad7e156b0118,,showcase,https://studio.lyzr.ai/lyzr-manager?blueprint=37274bdb-6da0-4008-83ba-07951492edcf,https://linear.app/lyzr/issue/6ca5c506-2988-4bed-b2e8-ad7e156b0118,mine,"Combined vision and text processing for comprehensive document understanding with parallel visual analysis, text extraction, layout understanding, and multi-modal synthesis."
78d9060a-c901-4f65-9b78-36b367313e40,LangGraph Plan-and-Execute Agent,featured,organization,showcase,review,BP-072,11ec70ba-90f8-4725-bcd1-4b3c81931bab,,showcase,https://studio.lyzr.ai/lyzr-manager?blueprint=78d9060a-c901-4f65-9b78-36b367313e40,https://linear.app/lyzr/issue/11ec70ba-90f8-4725-bcd1-4b3c81931bab,mine,"Implements the Plan-and-Execute pattern with explicit planning phase, systematic step execution, progress monitoring, and adaptive re-planning."
fc1cbaa3-9b6d-4089-9381-faa50c4f38b7,Code Interpreter Agent,featured,organization,showcase,review,BP-079,ae054865-e8d7-45d7-96e8-92149efb1256,week-7,showcase,https://studio.lyzr.ai/lyzr-manager?blueprint=fc1cbaa3-9b6d-4089-9381-faa50c4f38b7,https://linear.app/lyzr/issue/ae054865-e8d7-45d7-96e8-92149efb1256,mine,"Multi-agent code execution system for data analysis with planning, code generation, result interpretation, and error handling capabilities."
be56279a-87a3-4a18-81c1-7d2a3649e4f3,Tree of Thoughts Reasoner,featured,organization,showcase,review,BP-071,d873c50b-fab4-49f5-9973-90a8b812aa16,week-7,showcase,https://studio.lyzr.ai/lyzr-manager?blueprint=be56279a-87a3-4a18-81c1-7d2a3649e4f3,https://linear.app/lyzr/issue/d873c50b-fab4-49f5-9973-90a8b812aa16,mine,"Implements Tree of Thoughts deliberate reasoning with systematic generation, evaluation, and exploration of multiple thought paths for complex problem solving."
5a6f81f6-82a6-4408-910e-d3fc04537c89,CrewAI Hierarchical Task Delegation,featured,organization,showcase,review,BP-069,4f9ab90d-96f2-44e2-9c31-ec3fd3501a0e,week-7,showcase,https://studio.lyzr.ai/lyzr-manager?blueprint=5a6f81f6-82a6-4408-910e-d3fc04537c89,https://linear.app/lyzr/issue/4f9ab90d-96f2-44e2-9c31-ec3fd3501a0e,mine,"Multi-agent system implementing CrewAI-inspired hierarchical task delegation patterns with specialized workers for research, analysis, writing, planning, and quality review."
0fa5a6c1-1903-4137-b801-340bc35384d8,AutoGen Conversational Problem Solver,featured,organization,showcase,review,BP-068,e4bf00df-7729-4937-9e61-ab3a521221b5,week-7,showcase,https://studio.lyzr.ai/lyzr-manager?blueprint=0fa5a6c1-1903-4137-b801-340bc35384d8,https://linear.app/lyzr/issue/e4bf00df-7729-4937-9e61-ab3a521221b5,mine,"Multi-agent conversational system inspired by AutoGen patterns, featuring iterative proposal, critique, refinement, and verification cycles for collaborative problem-solving."
9c48e634-30d4-4b06-89fb-0e5d3d215014,Knowledge Graph Agent - Moonshot,featured,organization,showcase,review,BP-077,f1fcfc23-cfbe-431a-85fd-d97434af39f0,week-6,showcase,https://studio.lyzr.ai/lyzr-manager?blueprint=9c48e634-30d4-4b06-89fb-0e5d3d215014,https://linear.app/lyzr/issue/f1fcfc23-cfbe-431a-85fd-d97434af39f0,mine,"A state-of-the-art neuro-symbolic AI system that builds knowledge graphs from text, performs multi-hop reasoning, and generates explainable insights."
4ca1a5f0-053f-43c3-9c19-9a3b4b7d3f6e,Agent Swarm - Strategic Research Moonshot,featured,organization,showcase,review,BP-076,f469144e-3de9-4d1a-8c9a-733702c18697,week-5,showcase,https://studio.lyzr.ai/lyzr-manager?blueprint=4ca1a5f0-053f-43c3-9c19-9a3b4b7d3f6e,https://linear.app/lyzr/issue/f469144e-3de9-4d1a-8c9a-733702c18697,mine,Dynamic parallel orchestration pattern that coordinates specialized analyst agents to deliver comprehensive strategic research through simultaneous multi-dimensional analysis and intelligent synthesis
90ade6a1-5619-4a39-8bf1-bfd5d1907df1,LLM Council Multi-Agent Deliberation,Research,public,showcase,done,BP-067,92f28d59-61e2-4095-8a8b-fda637eace82,,showcase,https://studio.lyzr.ai/lyzr-manager?blueprint=90ade6a1-5619-4a39-8bf1-bfd5d1907df1,https://linear.app/lyzr/issue/92f28d59-61e2-4095-8a8b-fda637eace82,mine,"Multi-LLM deliberation with peer ranking for higher-quality answers

**Problem:** Single model responses can be biased, overconfident, or miss important perspectives

**Solution:** Multiple independen"
d68b4c20-05af-4fed-8661-92189a00d323,Six Sigma Quality Methodology,Research,public,showcase,done,BP-075,9fc9c276-6943-46d6-86d4-52d88c5fb692,,showcase,https://studio.lyzr.ai/lyzr-manager?blueprint=d68b4c20-05af-4fed-8661-92189a00d323,https://linear.app/lyzr/issue/9fc9c276-6943-46d6-86d4-52d88c5fb692,mine,"Massively Decomposed Architecture for reliable AI outputs through redundancy and consensus

**Problem:** Single-pass AI outputs contain errors that compound in complex workflows

**Solution:** Decompo"
